"","ASS.1","ASS.2","BET.1","BET.2","ASPL.1","ASPL.2","CC.1","CC.2","DEG.1","DEG.2","MIN.1","MIN.2","MAX.1","MAX.2","SD.1","SD.2","MT3.1","MT3.2","MT4.1","MT4.2","CLASS"
"66",-0.0440864774614413,-0.0411599625818515,33.0327868852459,3.86885245901639,2.10109289617486,56.8994535519126,0.167142857142857,0.0857142857142857,10.0655737704918,1.77049180327869,46,2,41,10,5.62988706949798,2.45216531948773,2488,33,25493,52,"i_gpI"
"67",-0.01258900460485,-0.0392353236548641,29.2166666666667,27.6833333333333,1.99039548022599,39.9050847457627,0.257376642697744,0.0930232558139535,12.4,3.16666666666667,56,4,43,43,8.26304823304904,4.39632614984594,3341,121,37649,417,"i_gpI"
"68",-0.176080163775455,-0.272727272727273,35.6129032258065,0.0483870967741935,2.16763617133792,61.4531993654151,0.157028281975517,0,8.90322580645161,0.903225806451613,8,1,6,36,4.26848795518804,1.18335002955079,2121,3,20051,0,"i_gpI"
"69",0.0454057133184572,-0.291122517106049,32.55,17.2333333333333,2.10338983050847,45.0508474576271,0.241558441558442,0.0508474576271186,10.9,2.86666666666667,19,3,5,5,8.16918559100838,4.54158438219141,2584,114,26780,401,"i_gpI"
"70",-0.126430815547686,-0.462333354595905,35.8125,3.875,2.13690476190476,60.1855158730159,0.193100995732575,0,9.65625,1.5625,32,1,11,11,5.97141005921031,2.42915492523504,2450,36,24700,50,"i_gpI"
"71",0.0667612089041679,-0.0472287294655038,35,11.4193548387097,2.14754098360656,51.0518244315177,0.221398305084746,0.03,9.64516129032258,2.25806451612903,20,1,27,27,9.34423075133607,5.86161585697884,2414,98,25627,426,"i_gpI"
"72",0.141591088761034,0.0744276391372838,38.1967213114754,3.60655737704918,2.27322404371585,56.4972677595628,0.18681888946549,0.117647058823529,8.45901639344262,1.86885245901639,26,6,18,18,5.87529792291932,3.17529741303113,1687,47,14822,115,"i_gpI"
"73",0.130517343841765,0.194570641245252,43.1639344262295,3.09836065573771,2.43879781420765,57.627868852459,0.16904422253923,0.214285714285714,6.91803278688525,1.40983606557377,23,1,10,9,5.61336227813365,3.02972523055765,1244,36,9990,75,"i_gpI"
"74",-0.0037848519603698,-0.0237271189047834,31.5862068965517,11.9310344827586,2.10828796128252,44.384150030248,0.279939209726444,0.183333333333333,11.4137931034483,3.62068965517241,6,6,10,3,9.02828786931275,5.26433743588293,2676,158,27794,605,"i_gpI"
"75",0.00416315423869429,-0.0724746526473902,34.8196721311475,5.57377049180328,2.16065573770492,56.9234972677596,0.202785743547726,0.111111111111111,9.18032786885246,1.57377049180328,8,7,22,22,5.42373855294578,2.14832505604903,2111,25,20123,32,"i_gpI"
